Ente,Titolo dell'iniziativa,Descrizione dell'iniziativa,"Destinatari, fruitori dell'iniziativa",Tempistiche dell'iniziativa,Metriche di valutazione dell'impatto,Eventuali partner coinvolti nell'iniziativa,Data Approvazione
Maker Camp S.r.l.s.,Olimpiadi della Creatività,"Il progetto delle Olimpiadi della Creatività ( http://www.olimpiadidellacreativita.it )  giunge nel 2020 alla sua III Edizione. L’evento nasce con lo scopo principale di incentivare l’atteggiamento ad esplorare soluzioni differenti, innovative e divergenti in tutti i contesti di insegnamento scolastici: arte, tecnologie, musica, scienze etc, considerando che la creatività, la capacità di risolvere problemi complessi ed il pensiero critico, sono le competenze più rilevanti e richieste per i lavori del futuro. 
La competizione più in particolare si propone di:
• promuovere la diffusione del pensiero creativo sviluppando possibili alternative o trovando idee originali a nuove sfide dando priorità assoluta all’esperienza pratica;
• far produrre ai partecipanti qualcosa di analogico e/o digitale che sia distintivo e speciale per loro e legato alla didattica svolta in classe favorendo la metodologia dell’imparare facendo;
• incoraggiare la capacità di mettere in discussione lo “status quo”rielaborando la tecnologia esistente per costruire nuovi sistemi che funzionano; 
• favorire la capacità di analizzare situazioni problematiche sviluppando, valutando ed individuando la soluzione più idonea da mettere in atto (problem solving);
• stimolare la condivisione di idee tra i partecipanti; 
• valorizzare l’esperienza educativa e culturale invitando i bambini a mettere insieme le competenze acquisite di arte tradizionale, tinkering, coding e making sperimentando sulla scienza, latecnologia, l’ingegneria, l’arte e la matematica",Bambini e ragazzi della scuola primaria e secondaria di I grado ,Avviata a dicembre 2019 la III edizione,"La valutazione è effettuata misurando
* il numero di istitui coinvolti (nelle passate edizioni coinvolti oltre 40 istituti della Regione Lazio)
* il numero di studenti coinvolti (nelle precedenti edizioni 800)","Comune di Allumiere, Comune di Tolfa, Comune di Civitavecchia e Fondazione Cariciv",2019-11-27 12:58:45
Microsoft Italia,AI- Accessibilità e Inclusione,"Nel  2019 Microsoft ha lanciato l'agenda digitale sull'accessibilità, che punta ad accrescere la consapevolezza del potenziale dell'IA e delle nuove tecnologie in quattro aree principali: lavoro, educazione, pubblica amministrazione e smart cities. 
Lo scorso dicembre, Microsoft ha lanciato  ""AI- Accessibilità e Inclusione"", in partenariato con aziende private e fondazioni al fine di condividere delle buone pratiche, mettere a fattore comune le esperienze  e avviare delle progettualità comuni con i partner o parte di questi. In particolare, le progettualità vertono su tre aree: 
1) formazione di personale di uffici risorse umane, pubblici e privati, per cambiare la cultura dell'inclusione e dell'accessibilità dai vertici al personale ; 
2) formazione del personale; 
3) sviluppo di progettualità concrete per incentivare l'accessibilità e l'inclusione, ad esempio sviluppo di un kit per conoscere le disabilità cognitive e come la tecnologia può essere da supporto dall'ambito del lavoro a quello della formazione, della pubblica amministrazione, smart cities ecc. 
Maggiori informazioni sul sito: https://www.microsoft.com/it-it/ambizioneitalia/social-ecosystem.aspx ","Uffici risorse umane e gestione del personale di enti pubblici e aziende private, studenti.","Primo semestre 2020: creazione di cluster per i progetti e definizione delle attività
Secondo semestre 2020: kick-off di alcune progettualità emerse e definite nell'ambito della piattaforma di partner AI-Accessibilità e inclusione ","* numero di personale formato.
Per progetti specifici nel mondo del lavoro:
* numero di persone con disabilità che sarà inserito in un contesto lavorativo. ",,2020-01-15 09:19:49
Oilproject S.r.l. - WeSchool,Docenti Digitali,"Docenti Digitali è il corso online gratuito per i Prof della scuola primaria e secondaria creato da WeSchool, l'azienda italiana leader della scuola digitale, usata da 2 milioni di studenti e 79.000 docenti iscritti. L’obiettivo? Aiutare i Prof a capire come trasformare il digitale in un valido alleato nella didattica. Come? I docenti impareranno quali sono le migliori metodologie di didattica digitale e quali sono i tool e le app più utili da utilizzare nelle loro lezioni. Il mantra di WeSchool è che l’innovazione didattica si può fare anche con carta e penna: questo perché le tecnologie sono soltanto uno strumento abilitante e quello che conta davvero è l’attitudine dei Prof a sperimentare nuove metodologie didattiche cooperative ed esperienziali che superino la classica “scuola frontale” in cui il docente parla e i ragazzi ascoltano. Entrando in una vera e propria community, i Prof impareranno quindi direttamente dai propri colleghi, confrontandosi con loro, raccontando le loro esperienze e scambiandosi pareri e consigli utili. L’iniziativa è sviluppata in collaborazione con DeAgostini Scuola.","I destinatari dell’iniziativa sono i docenti della scuola primaria e secondaria, ai quali verranno insegnate cosa sono le metodologie didattiche innovative e come utilizzare il digitale all’interno dei percorsi di apprendimento scolastico. Ma i destinatari dell’iniziativa sono anche le classi di studenti che, di riflesso, conosceranno nuovi strumenti utili che li affiancheranno nel loro percorso di studi.","I corsi Docenti Digitali Primaria e Docenti Digitali Secondaria inizieranno il 30 settembre 2019 e termineranno il 12 novembre 2019. I vari moduli che compongono i due corsi verranno pubblicati con cadenza settimanale in modo da permettere ai docenti di rimanere in pari con l’andamento del corso. Inoltre, tutti i materiali e le lezioni che verranno pubblicati rimarranno disponibili per i docenti iscritti anche dopo il termine del corso, in modo da permettere loro di revisionarli, scaricarli e usarli come guida durante le loro lezioni in aula. Entrambi i corsi sono gratuiti, in modo da permettere a tutti i docenti interessati di iscriversi e seguire le lezioni che vengono caricate sulla piattaforma.","In base al numero di docenti iscritti alle precedenti edizioni dei corsi Docenti Digitali Primaria e Docenti Digitali Secondaria, si stima che gli iscritti ai due corsi saranno circa 20.000 docenti.
I corsi Docenti Digitali Primaria e Docenti Digitali Secondaria termineranno con un test, che i docenti dovranno obbligatoriamente superare per poter ricevere l’attestato riconosciuto ai fini della formazione MIUR. A partire da quest’anno, inoltre, WeSchool è diventato ente certificatore accreditato MIUR (Diretta 170/2016), quindi rilascerà in prima persona gli attestati ai docenti che si dimostrano meritevoli. I docenti avranno anche la possibilità di inviare materiali prodotti da loro, coerentemente a quello che è stato insegnato nel corso e che è stato sperimentato da loro in aula. Questi materiali verranno visionati e valutati dal team didattico di WeSchool. Durante tutta la durata dei corsi verrà portato avanti un monitoraggio del comportamento che i docenti hanno sulla piattaforma. Saranno infatti controllati il numero di materiali visionati dai docenti, la percentuale di completamento di ogni singolo modulo del corso, il numero di commenti lasciati dai docenti per richiedere approfondimenti o chiarimenti, il superamento o meno del test finale.",,2019-09-04 17:37:35
Parole O_Stili,Parole O_Stili,"Parole O_Stili è un progetto sociale di sensibilizzazione contro laviolenza delle parole
Parole O_Stili ha l’obiettivo di responsabilizzare ed educare gli utenti dellaRete a scegliere forme di comunicazione non ostile. Promuove i valoriespressi nel “Manifesto della comunicazione non ostile”. Si rivolge a tutti icittadini consapevoli del fatto che “virtuale è reale”, e che l’ostilità in Rete haconseguenze concrete, gravi e permanenti nella vita delle persone.
Parole O_Stili lavora con le scuole, le università, le imprese, le associazioni e leistituzioni nazionali e territoriali per diffondere le pratiche virtuose dellacomunicazione in Rete, e per promuovere una consapevolezza diffusa delleresponsabilità individuali. Organizza iniziative di sensibilizzazione eformazione.","Il corpo docente, gli studenti e le studentesse di ogni grado e ordine scolastico, i collaboratori di aziende e istituzioni. ","L’iniziativa ha durata variabile: nelle scuole dai sei ai nove mesi, in aziende e istituzioni l’iniziativa potrebbe realizzarsi con incontri della durata di 4 ore. ","Attraverso la compilazione di un questionario, che verrà somministrato ai partecipanti dell’iniziativa prima e dopo la nostra formazione e attraverso l’utilizzo del nostro materiale didattico. Questo valuterà il livello di consapevolezza acquisita dall’utente in merito ai temi delle competenze digitali e del contrasto ai linguaggi ostili. ",,2019-11-27 14:44:03
Progetto FUSS - Direzione Istruzione e Formazione Italiana - Provincia Autonoma di Bolzano,FUSS (Free Upgrade for a digitally Sustainable School - Sostenibilità digitale nella scuola),"FUSS (Free Upgrade for a digitally Sustainable School - Sostenibilità digitale nella scuola – https://fuss.bz.it) ha una duplice natura: è un progetto di sostenibilità digitale per la scuola e nel contempo un prodotto free software (sistema operativo GNU/Linux ed applicativi) per la gestione a 360 gradi di una rete scolastica. 
FUSS nasce nel 2005 ed è un'esperienza unica in Europa per organizzazione e struttura. Il progetto ha portato alla migrazione verso software libero degli strumenti informatici utilizzati nella didattica di tutte le scuole in lingua italiana dell'Alto Adige: ad oggi lo usano 1.800 docenti e 16.000 studenti; è installato su 4.000 desktop e 60 server in circa 80 scuole della Provincia Autonoma di Bolzano.
La scelta di usare software libero nella scuola è anzitutto, al di là delle ragioni economiche o tecniche, etica e politica. Oltre ad avere un software efficiente, stabile e sicuro, l'obiettivo è quello di perseguire nell'insegnamento i valori della libertà e della condivisione del sapere.
FUSS è un progetto all'avanguardia sul territorio nazionale ed ha permesso di rendere digitalmente sostenibile la didattica grazie a quattro obiettivi fondamentali: l’utilizzo di software libero, l’impiego di formati aperti, la creazione di contenuti liberi ponendo così le basi per il quarto obiettivo il cui raggiungimento dovrebbe essere garantito da ogni scuola per definizione: il libero accesso al sapere. La filosofia che sta alla base del software libero, quella della libertà di accesso alle informazioni e della condivisione della conoscenza, si adatta naturalmente al compito educativo di una nuova scuola oltre ad essere uno dei punti cardine del Codice dell'Amministrazione Digitale in termini di acquisizione e riuso di software espresso dagli articoli 68 e 69.
L'iniziativa prevede la condivisione con il territorio nazionale di quanto prodotto da FUSS e dell'esperienza fatta in 14 anni nelle scuole in lingua italiana della Provincia Autonoma di Bolzano e si articola in
1) condivisione del progetto FUSS con altre province/regioni partendo dalla vicina Provincia di Trento; 2) coinvolgimento dei cittadini e supporto degli stessi tramite sportelli sul territorio (Bolzano, Merano, Brunico, Bressanone - https://www.fuss.bz.it/page/desk/) ed esportazione del modello in altre province/regioni; 3) attività di educazione al digitale mediante corsi/workshop.
","I destinatari di FUSS in quanto soluzione di sostenibilità digitale sono

- le scuole, in generale tutti gli utenti di una rete scolastica
- gli enti educativi
- le famiglie ed i cittadini in generale che possono utilizzare a casa gli stessi strumenti informatici adottati nelle scuole

di tutto il territorio nazionale che possono far leva sull'esperienza fatta in 14 anni nelle scuole dell'Alto Adige le quali da tempo sono pronte a condividere con le altre regioni il proprio cammino di digitalizzazione sostenibile.","L'iniziativa di disseminazione della conoscenza e condivisione dell'esperienza sul territorio nazionale è già iniziata e proseguirà per tutto il prossimo anno scolastico 2019/2020, al termine del quale si farà il consuntivo delle attività svolte in linea con i principi del manifesto. L'iniziativa proseguirà poi nei successivi anni scolastici ponendo nuovi obiettivi.","1) numero di altre province/scuole coinvolte/interessate e tecnici scolastici formati;
2) numero di cittadini serviti dagli sportelli esistenti sul territorio; nuovi sportelli avviati;
3) corsi/workshop di educazione al digitale tenutisi nell'anno.","Digital Sustainability Südtirol-Alto Adige (https://openbz.eu)
LUGBZ (https://lugbz.org)
Truelite s.r.l (https://www.truelite.it)
Marco Marinello (https://www.marcomarinello.it)",2019-09-06 18:03:50
Registro .it dell'Istituto di Informatica e telematica del Cnr,Ludoteca,"La Ludoteca è un progetto de Registro .it, l’organismo che da oltre trent’anni anni assegna e gestisce i domini a targa italiana, e nasce per diffondere la cultura di internet presso le giovani generazioni. Si rivolge principamente alle scuole, ma  anche i genitori potranno trovare delle informazioni  da condividere con i proprio figli. L’obiettivo è trasmettere ai bambini una visione completa della Rete, grazie a un filo narrativo che aiuti a capire che cos’è, perché utilizzarla e come utilizzarla.
Nel 2013 il progetto ha ottenuto il patrocinio dell’Autorità garante per l’infanzia e l’adolescenza.
Obiettivi
- diffondere la cultura di Internet nella giovani generazioni, stimolando un atteggiamento attivo e consapevole nei confronti di questo media;
- introdurre innovazione nella scuola anche a livello di strumenti e metodi;
- accrescere la conoscenza e il grado di consapevolezza riguardo le problematiche di utilizzo di Internet anche tra i genitori e gli insegnanti.","Studenti di ogni grado di scuola: dagli 8 agli 11 anni con laboratori ludico didattici, dai 12 ai 14 con incontri e da settembre 2020 un videogioco didattico sulla cybersecurity, dai 16 ai 18 con un progetto di peer education (in alternanza scuola-lavoro)","Tutte le iniziative sono attive, tranne il videogioco che sarà disponibile da settembre 2020",*Numero di studenti coinvolti,,2020-01-13 13:07:40
Roma Capitale,Punti Roma Facile e scuola diffusa,"Fra gli obiettivi prioritari di Roma Capitale vi è lo sviluppo delle competenze e della cultura digitale, quale condizione essenziale per l’inclusione e l’esercizio dei diritti di cittadinanza. In quest’ottica, nel 2016, sono stati attivati i primi Punti Roma Facile (PRoF), spazi assistiti ed aperti ai cittadini, dove i “facilitatori digitali” (dipendenti dell’amministrazione e volontari appositamente formati), forniscono supporto ai cittadini e ai city user per l’utilizzo delle nuove tecnologie e/o per usufruire dei servizi online offerti da Roma Capitale e dalle altre PA. 
Oggi la rete sul territorio capitolino è costituita da 22 Punti Roma Facile:  18 nei Municipi, 3 nelle Biblioteche e 1 nelle sedi di Centri Sociali Anziani. Nei primi mesi del 2020 è prevista l’apertura di alti 6 PRoF nelle sedi di CSA e l’avvio di ulteriori collaborazioni.
Con lo sviluppo del progetto, nel 2019 gli accessi al servizio di facilitazione offerto nei PRoF sono quasi quadruplicati rispetto all’anno precedente, raggiungendo il numero di 21.026, con un incremento delle richieste del 327%. Conscia del gradimento del servizio da parte degli utenti, l’Amministrazione sta realizzando una campagna di comunicazione finalizzata alla maggiore conoscenza del progetto da parte dei cittadini e di eventuali nuovi partner dello stesso, istituzionali e non.
Nella stessa direzione, è stata istituita la Scuola Diffusa per la Partecipazione e la Cittadinanza Digitale, un progetto - avviato in fase sperimentale nel biennio 2017-2018 - che si concretizza in momenti formativi gratuiti ed aperti a tutta la cittadinanza: corsi, seminari e workshop sui temi del digitale tenuti presso le sedi dei PRoF, nelle scuole e in altri spazi pubblici o contesti associativi, erogati anche in modalità diverse dalla formazione d’aula (es. scambio intergenerazionale, peer education, integrazione aula-online), tenendo conto delle caratteristiche della sede, dei destinatari e del loro livello di competenza di base.",Cittadini e city user con problemi di divario digitale ,L'iniziativa è già in corso,"La valutazione viene effettuata misurando
* il numero di cittadini che accedono ai Punti Roma Facile per il servizio di facilitazione digitale
* il numero di cittadini che fruiscono delle attività formative organizzate",Tutti i soggetti pubblici e privati che aderiscono alla rete dei Punti Roma Facile e alla Scuola diffusa per la partecipazione e la cittadinanza digitale,2019-07-19 16:21:29
Smart Nation,Casa Digitale,"Casa Digitale (casadigitale.org) è una rete di sportelli gratuiti - uno per Comune - che assistono il cittadino resistente alla tecnologia perseguendo la sua piena inclusione digitale grazie ad un metodo innovativo.
Tramite appuntamenti 1:1 impiegando, come tutor, dei nativi digitali (preferibilmente under 29) la persona resistente alla tecnologia riceve competenze digitali immediatamente spendibili che spesso sono la risposta ad un bisogno concreto (es. accesso FSE, registrazione SPID/PEC, pagamento TARI online, ...).
Da qui il cittadino viene incuriosito dalle opportunità garantite dal digitale e aumenta il suo grado di digitalizzazione.
L’iniziativa è operativa da febbraio 2019 in collaborazione con i Comuni di Monza, Brugherio e Vedano al Lambro: overbooking di prenotazioni con appuntamenti a 2 mesi dalla richiesta, oltre il 30% degli utenti hanno anche registrato un’identità digitale SPID (il 90% di questi con Poste Italiane).

Attenzione: Casa Digitale si appresta a diventare un soggetto giuridicamente autonomo mentre Smart Nation, come APS, continuerà ad effettuare attività di divulgazione della cultura digitale sul territorio.",Persone resistenti alla tecnologia (tipicamente over 60),Operativa da febbraio 2019 (inizio progettazione estate 2016),"Accesso ai servizi digitali della PA, attivazioni SPID/PEC",Fondazione Micron,2019-07-23 14:56:38
SOGEI S.p.A.,Pillole informative per cittadini,"Pillole informative per cittadini per promuovere consapevolezza nell’utilizzo del web.
In particolare sono previsti diversi filoni di progettazione che riguarderanno:
-          la cyber security awareness
-          i pagamenti online e digitali
-          gli assistenti virtuali e i chatbot",Cittadini,In corso,Numero Cittadini coinvolti,,2019-10-28 22:35:19
SOGEI S.p.A.,Transizione al digitale della PA,"Programmi formativi presso la SNA per supportare il processo di transizione al digitale della PA. Oltre alle tecnologie abilitanti già alla seconda edizione sono previsti a partire dal 2020 altri due corsi: 1) Chatbot per semplificare la comunicazione con i cittadini - laboratorio che consentirà ai partecipanti di acquisire conoscenze sul mondo degli assistenti virtuali e partecipare alla progettazione pratica; 2) Digital workplace: come cambia l'ambiente di lavoro - laboratorio in cui saranno simulati nuovi modelli di lavoro e utilizzati strumenti di collaboration. Inoltre sono previsti programmi formativi sul tema della ""digital transformation"" all'interno delle attività erogate ai nostri clienti.",Dirigenti e funzionari della PA,Dal 2020,Numero di partecipanti e ore erogate.,,2019-10-28 22:36:19
SOGEI S.p.A.,Open Innovation per la Pubblica Amministrazione,"L’iniziativa ha l’obiettivo di aumentare la capacità di sviluppare idee, soluzioni e innovazione della Pubblica Amministrazione (PA), attraverso collaborazioni esterne all’azienda, con un processo innovativo di contaminazione distribuito anche esternamente ai confini aziendali e che includa i consumatori creativi (pro-sumers) e tutti gli stakeholder della PA.
Con questa iniziativa si vuole inoltre favorire un approccio di «Corporate Entrepreneurship» per diffondere modelli di imprenditorialità interna e alimentare la cultura dell'innovazione e della sperimentazione affinché si possano creare le condizioni necessarie per un continuo rinnovamento della PA. 
Nel primo trimestre 2019 è stata sviluppata una strategia di Open Innovation suddivisa in tre fasi: analisi della domanda, consolidamento dell’offerta e comunicazione e riposizionamento sia interno che esterno.
La fase di analisi della domanda è stata realizzata attraverso un evento di co-creation che ha visto la partecipazione di oltre 170 rappresentanti della PA in rappresentanza di 10 Enti pubblici, organizzati in 20 gruppi di lavoro, si sono contaminati in un percorso di co-creation su 5 temi (Internet of things, Cybersec, Customer eXperience, Artificial Intelligence, Digital Culture) che in due giorni ha generato 1041 micro idee da cui sono emersi 41 casi d’uso per l’innovazione della PA.  
La fase di consolidamento dell’offerta prevede la pubblicazione di un bando di call4solution  attraverso Lazio Innova che consentirà di acquisire proposte di soluzioni per implementare  i casi d’uso individuati.
Nei prossimi anni l’iniziativa  si arricchirà di nuove partnership che consentiranno di aumentare lo scambio di prospettive ed esperienze sul tema dell’Open Innovation necessario per affrontare le sfide e le complessità della modernità e favorire la crescita di imprese, organizzazioni e della PA.","Pubblica Amministrazione, startup, PMI, Imprese, Università ", In corso,"* numero utenti della PA coinvolti
* numero idee generate
* numero sperimentazioni attivate
* numero sperimentazioni industrializzate","Lazio Innova, Lazio Crea e altri partner pubblici e privati comprese università ",2019-12-18 11:53:01
SORINT.lab S.p.A.,Download Innovation IT conference and Festival ,"Download Innovation IT conference and Festival (https://downloadinnovation.it) è la conferenza dell’IT, dell’Innovazione, dei giovani, delle opportunità e del domani… gratuito ed aperto a tutti.
Un luogo di confronto tra protagonisti dell’IT e dell’Innovazione dove creare, coinvolgere, mettersi in gioco, divertirsi e apprendere… Un evento ""motivazionale"" verso il digitale (e non commerciale). Prende spunto dalle conferenze nord europee ma realizzato il sabato e la domenica per permettere una User Experience da ""conferenza"" in un contesto aperto anche alle famiglie.","E' aperto a chi vuole conoscere, contribuire e confrontarsi sugli ultimi trend IT e sul tema Innovazione con mente aperta, curiosità ed entusiasmo siano essi IT pro, Creativi, developers, appassionati, studenti, docenti, bambini...",settembre 2020 (2 gg annuali),"* numero partecipanti
* numero aziende coinvolte
* numero startup coinvolte
* numero scuole coinvolte
* numero studenti partecipanti","Bergamo Smartcity, Comune di Bergamo",2019-07-19 16:59:34
Studio consulenza del lavoro Casiglia e Ronzoni ,Divulgare Social Media policy tra i lavoratori ,"L'iniziativa ha l'obiettivo di divulgare la Social Media policy tra i lavoratori attraverso incontri dedicati ed offre la possibilità di illustrare come bilanciare gli interessi in gioco con le Social Media Policy interne, direttamente presso le aziende.
La Social Media Policy è l’insieme delle norme di comportamento, riguardante un’azienda o un’organizzazione, utili a regolare una serie di aspetti legati ai Social Network Site.
Gli incontri, mirati alla conoscenza delle norme che regolano i rapporti di lavoro, si prefiggono l’intento di fare educazione nei luoghi di lavoro in questa nuova era digitale.
La reputazione on line dei dipendenti, dei cittadini che diverranno futuri dipendenti, delle aziende e dei marchi e più in generale del patrimonio aziendale è spesso seriamente messa al bando, per ignoranza disattenzione e mancanza di educazione e formazione digitale e comportamento sui social.
La finalità di adeguare le competenze tecniche e trasversali, contribuisce alla salvaguardia occupazionale, se non si provvede a fare formazione continua, dei lavoratori nati nel secolo scorso. Il rischio di essere estromessi dal mondo del lavoro , a causa dell’inadeguatezza delle loro conoscenze ancorate alla routine lavorativa del mondo analogico, è molto alto.",Dipendenti di organizzazioni private ,L'iniziativa si svolge lungo tutto l'anno con periodici incontri in azienda ,"La valutazione è effettuata tramite la raccolta di feedback e sondaggi online prima e dopo gli incontri , oltre che in base al numero di lavoratori coinvolti",Formatori in materia digital e soft skilks,2019-11-05 19:09:34
TIM S.p.A.,Risorgimento Digitale,"Obiettivo del progetto è la riduzione del divario digitale del Paese raggiungibile grazie al coinvolgimento di stakeholder interni ed esterni (come la scuola, le istituzioni, i media) utilizzando canali fisici e canali digitali per collaborare ad un progetto comune di alfabetizzazione digitale. L’adesione al programma è a titolo gratuito in modalità push o pull. TIM metterà a disposizione le sue risorse (dipendenti in veste di formatori) per attivare un ciclo di apprendimento collettivo per fare informazione e formazione, favorendo e stimolando un maggiore utilizzo del digitale nella quotidianità e mostrando le opportunità del digitale che, per una mancanza di awareness, non vengono colte dai cittadini.","Diversi saranno i target, dai così detti “Analfabeti digitali” ai “Digitali Base” fino ai “Digitali Superiori & Specialistici” alternando programmi di formazione di digital education fino alla fornitura di strumenti idonei ed evoluti per agevolare la scoperta di nuovi orizzonti.","La fase pilota si svolgerà tra luglio e agosto e riguarderà la sperimentazione dell’iniziativa nei negozi sociali TIM per poi dar vita, a partire da settembre, alla prima e alla seconda fase del progetto con una ricca differenziazione di contenuti e canali di fruizione sull’intero territorio nazionale.","Le metriche di valutazione e risposta dell’iniziativa che consideriamo nel progetto:

- Numerosità partecipanti ( canale fisico: registro presenza/ canale online: adesione su piattaforma)

- Test di apprendimento sui contenuti ed espressione del gradimento sul modulo formativo.",,2019-07-08 15:07:34
TSM - Trentino School of Management,ioDigitale,"ioDigitale - Progetto formativo triennale per le Competenze Digitali

Il Progetto mira a sistematizzare e diffondere le competenze digitali al personale della P.A. mediante un percorso formativo strutturato, all’interno del quale i livelli di competenza e conoscenza dei partecipanti siano riconducibili a quanto previsto dall’ultimo framework DigComp 2.1 e dal Syllabus per le competenze della Pubblica Amministrazione del Dipartimento Funzione Pubblica.

ioDigitale si struttura in un programma formativo triennale composto da cinque corsi all'anno, con l’obiettivo di certificare al termine di ogni anno le conoscenze acquisite da ciascun partecipante a livello base, intermedio e avanzato. Ciascun partecipante può scegliere in modo flessibile di:
- iscriversi a tutti i percorsi proposti nell’anno; se frequentati con successo, al termine del ciclo verrà proposto un test di valutazione finale che, se superato, consentirà il rilascio di un’attestazione per il livello di competenza previsto (base, intermedio o avanzato, vedi immagine sotto);
- iscriversi a tutti i percorsi di una determinata area di competenza (tra le cinque previste) nel corso dei tre anni; se frequentati con successo al termine del triennio verrà proposto un test di valutazione finale che, se superato, consentirà il rilascio di un’attestazione di livello avanzato per quella specifica area;
- iscriversi ogni anno in modo libero a uno o più corsi, ma non all’intero percorso.

I percorsi sono realizzati utilizzando diverse metodologie didattiche, alternando la formazione in aula di tipo frontale e/o interattivo, a momenti completamente in e-learning, o in modalità blended.
tsm è infatti impegnata da anni nella progettazione, realizzazione ed erogazione di prodotti formativi in e-learning (nel 2018 hanno rappresentato oltre il 30% del complesso delle attività formative e circa 15.000 formati).

Il risultato finale sperato, monitorato attraverso momenti costanti di autovalutazione e valutazioni finali al termine di ciascuna annualità, sarà una P.A. ancora più preparata al cambiamento, e pronta a dare risposte efficaci al cittadino.","Personale della Provincia autonoma di Trento, dei suoi Enti strumentali, della Regione autonoma Trentino Alto Adige, dell’Università degli Studi di Trento, del Consiglio provinciale e degli altri Enti e Società convenzionate con tsm-Trentino School of Management.",2019-2021,"Numero di dipendenti coinvolti nell'iniziativa, Valutazione delle conoscenze acquisite tramite test di valutazione finale (annuale per ciascun livello di preparazione prevista), Valutazione del gradimento espresso dai partecipanti all'iniziativa, Valutazione delle ricadute formative nell'attività professionale del dipendente",Provincia autonoma di Trento,2019-07-24 16:28:20
Unione di Comuni Bassa Reggiana,Punti Pane e Internet - Comuni Bassa Reggiana,"L’Unione Bassa Reggiana aderisce al progetto “Pane e Internet: cittadini al 100% digitali” della Regione Emilia Romagna per favorire il pieno esercizio del diritto di accesso alle informazioni da parte dei cittadini. Nell’elaborazione del profilo dell’Agenda Digitale Locale, l’Unione ha evidenziato alcuni gap dei cittadini sull’asse “competenze digitali” ed ha raccolto diversi bisogni collegati allo sviluppo di tali competenze. L’Unione si impegna a realizzare un piano biennale 2020-2021 di attività rivolto ai cittadini sulle competenze e cultura digitale al fine di:
- promuovere l’utilizzo di servizi online pubblici già disponibili ma non sufficientemente conosciuti da cittadini;
- diffondere maggiore consapevolezza circa l’uso delle tecnologie digitali per prevenire situazioni di disagio;
- supportare i soggetti a rischio di esclusione digitale nei processi di alfabetizzazione digitale;
- supportare giovani e famiglie nell’uso sicuro delle tecnologie della società dell’informazione.",Cittadini (giovani/anziani) e alunni scuole primarie (fino a medie inferiori),Si svolge nel biennio 2020 - 2021 (24 mesi),"La valutazione è effettuata tramite la raccolta dei seguenti dati:

* numero edizioni di corsi/eventi/azioni (anche per tipologia di corso)
* numero cittadini partecipanti (anche per tipologia di azione e quindi di destinatario)",progetto in collaborazione con Regione Emilia Romagna (promotori del progetto Pane & Internet),2020-01-15 09:49:20
Webidoo S.p.A.,Imprese Digitali,"Imprese Digitali è il corso di formazione dedicato a Piccole e Medie Imprese e Liberi Professionisti. 
Partecipando al corso si scoprono le novità del settore e si conoscono gli strumenti per migliorare e far crescere il proprio business.

Webidoo svolge eventi formativi di Cultura Digitale, seminari di approfondimento dedicati alle singole categorie merceologiche, workshop su tutto il territorio italiano.
Il nostro percorso formativo è rivolto a tutti gli imprenditori delle PMI italiane e liberi professionisti che vogliono far accrescere le loro competenze, la loro cultura digitale.
Sono previsti inoltre percorsi dedicati ai giovani, ai nuovi talenti, che hanno la passione del mondo digitale per inserirli in questo settore a supporto delle aziende.

webidoo S.p.A. è un’azienda che opera nel settore della Digital Transformation e del Digital Marketing.
Sviluppa ed eroga servizi Cloud, CRM, Cyber security, GDPR, Formazione, Consulenza, Comunicazione e Marketing per piccole e medie imprese, grandi aziende e Pubblica Amministrazione che hanno l’obiettivo di efficientare, aumentarne la visibilità, raggiungere nuovi utenti e affermarne l’immagine. ","Tutte le partite iva (dalla microimpresa alla media-grande azienda) e giovani interessati al digitale 

il nostro percorso formativo si rivolge come target Primario a tutte le PMI italiane, liberi professionisti, freelance e giovani con la passione del mondo e degli strumenti digitali che vogliono far accrescere le loro competenze.",Progetto sui 3 anni ,"Strumenti dì analytics e altri

Gli argomenti di cultura digitale che trattiamo sono misurati sia a livello di singolo servizio che sul solo percorso formativo del singolo partecipante.

Per misurare i servizi che offriamo ci avvaliamo di strumenti di analisi digitale che verificano l’effettiva presenza online delle aziende a cui ci rivolgiamo (testdigitale.it) .
il livello di efficacia della loro presenza analizza i seguenti aspetti : 
- sito web,
- presenza sui social, 
- presenza sui motori di ricerca, 
- sulle mappe,
- efficacia dell' e-commerce.

Inoltre effettuiamo una l’analisi comparativa dei competitor e utilizziamo piattaforme on line per misurare le performance. 

Per misurare il percorso del partecipante si prevede un test di valutazione finale sulle competenze acquisite con relativo rilascio della certificazione, oltre a richiedere la Survey per misurare l’efficacia delle iniziativa, il loro percepito e raccogliere i loro spunti.","Google, salesforce, hubspot, swascan, grenke",2019-09-08 19:17:45
